,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
428,mxnet.ndarray.op.exp,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
429,mxnet.ndarray.op.fix,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
430,mxnet.ndarray.op.ftml_update,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
431,mxnet.ndarray.op.linalg_gelqf,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
432,mxnet.ndarray.op.log1p,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
433,mxnet.ndarray.op.mp_lamb_update_phase1,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
434,mxnet.ndarray.op.nag_mom_update,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
435,mxnet.ndarray.op.nansum,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
436,mxnet.ndarray.op.pad,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
437,mxnet.ndarray.op.random_poisson,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
438,mxnet.ndarray.op.sample_poisson,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
439,mxnet.ndarray.op.slice_axis,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
440,mxnet.ndarray.preloaded_multi_mp_sgd_update,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
441,mxnet.ndarray.random.normal,out,Store output to an existing NDArray.,Store output to an existing D_STRUCTURE,,,,,,,
442,mxnet.ndarray.random.normal_like,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
443,mxnet.ndarray.sample_exponential,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
444,mxnet.ndarray.SequenceReverse,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
445,mxnet.ndarray.shuffle,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
446,mxnet.ndarray.sinh,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
447,mxnet.ndarray.space_to_depth,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
448,mxnet.ndarray.sparse.cosh,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
449,mxnet.ndarray.sparse.elemwise_add,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
450,mxnet.ndarray.sparse.floor,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
451,mxnet.ndarray.sparse.log,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
452,mxnet.ndarray.sqrt,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
453,mxnet.ndarray.take,out,The output NDArray to hold the result.,The output D_STRUCTURE to hold the result,,,D_STRUCTURE,,,,
454,mxnet.contrib.ndarray.dequantize,out_type,Output data type.,Output PARAM type,dtype,,,,,,
455,mxnet.ndarray.contrib.quantized_batch_norm,output_mean_var,Output the mean and inverse std,Output the mean and inverse std,numeric,,,,,,
456,mxnet.ndarray.GroupNorm,output_mean_var,Output the mean and std calculated along the given axis.,Output the mean and std calculated along the given axis,numeric,,,,,,
457,mxnet.test_utils.download,overwrite,"Default is false, which means skipping download if the local file exists. If true, then download the url to overwrite the local file if exists.",Default is CONSTANT_BOOL which means skipping download if the local file exists,bool,,,,0,,
458,mxnet.test_utils.download,overwrite,"Default is false, which means skipping download if the local file exists. If true, then download the url to overwrite the local file if exists.",If CONSTANT_BOOL then download the PARAM to overwrite the local file if exists,bool,,,,0,,
459,mxnet.ndarray.random.negative_binomial_like,p,Failure probability in each experiment.,Failure probability in each experiment,float,,,,,"[0,1]",
460,mxnet.ndarray.sample_negative_binomial,p,Failure probabilities in each experiment.,Failure probabilities in each experiment,float,,,,,"[0,1]",
461,mxnet.gluon.nn.Conv3DTranspose,padding,"If padding is non-zero, then the input is implicitly zero-padded on both sides for padding number of points",If padding is non zero then the input is implicitly zero padded on both sides for padding number of points,,,,,,,
462,mxnet.gluon.contrib.rnn.Conv3DGRUCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,,
463,mxnet.gluon.contrib.rnn.Conv3DGRUCell,params,Container for weight sharing between cells. Created if None.,Created if None,,,,,,,
464,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,,
465,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,params,Container for weight sharing between cells. Created if None.,Created if None,,,,,,,
466,mxnet.gluon.contrib.rnn.Conv3DRNNCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,,
467,mxnet.gluon.contrib.rnn.Conv3DRNNCell,params,Container for weight sharing between cells. Created if None.,Created if None,,,,,,,
468,mxnet.callback.do_checkpoint,period,Interval (number of epochs) between checkpoints. Default period is 1.,Default period is CONSTANT_NUM,,,,,,,
469,mxnet.callback.do_checkpoint,period,Interval (number of epochs) between checkpoints. Default period is 1.,Interval BSTR between checkpoints,,,,,,,
470,mxnet.callback.log_train_metric,period,The number of batch to log the training evaluation metric.,The number of batch to log the training evaluation metric,int,,,,0,"[0,inf)",
471,mxnet.gluon.nn.AvgPool1D,pool_size,Size of the average pooling windows.,Size of the average pooling windows,int,,,,,,
472,mxnet.contrib.ndarray.ROIAlign,pooled_size,"ROI Align output roi feature map height and width: (h, w)",ROI Align output roi feature map height and width BSTR,,,,BSTR,,,
473,mxnet.contrib.ndarray.RROIAlign,pooled_size,"RROI align output shape (h,w)",RROI align output shape BSTR,,,,BSTR,,,
474,mxnet.ndarray.op.ROIPooling,pooled_size,"ROI pooling output shape (h,w)",ROI pooling output shape BSTR,,,,BSTR,,,
475,mxnet.ndarray.contrib.quantized_pooling,pooling_convention,Pooling convention to be applied.,Pooling convention to be applied,,,,,,,
476,mxnet.ndarray.op.Pooling,pooling_convention,Pooling convention to be applied.,Pooling convention to be applied,,,,,,,
477,mxnet.io.ImageDetRecordIter,prefetch_buffer,Maximum number of batches to prefetch.,Maximum number of batches to prefetch,int,,,,0,"[0,inf)",
478,mxnet.gluon.contrib.rnn.Conv1DGRUCell,prefix,Prefix for name of layers (and name of weight if params is None).,prefix for name of layers BSTR,string,,,,0,,
479,mxnet.gluon.contrib.rnn.Conv1DLSTMCell,prefix,Prefix for name of layers (and name of weight if params is None).,prefix for name of layers BSTR,string,,,,0,,
480,mxnet.gluon.rnn.GRUCell,prefix,prefix for name of Block`s (and name of weight if params is `None).,prefix for name of Block and name of weight if PARAM is None,string,,,,0,,
481,mxnet.ndarray.op.Softmax,preserve_shape,"If set to `true`, the softmax function will be computed along the last axis (`-1`).",If set to CONSTANT_BOOL the softmax function will be computed along the last axis CONSTANT_NUM,bool,,,,0,,
482,mxnet.ndarray.op.SoftmaxOutput,preserve_shape,"If set to `true`, the softmax function will be computed along the last axis (`-1`).",If set to CONSTANT_BOOL the softmax function will be computed along the last axis CONSTANT_NUM,bool,,,,0,,
483,mxnet.gluon.model_zoo.vision.alexnet,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
484,mxnet.gluon.model_zoo.vision.densenet121,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
485,mxnet.gluon.model_zoo.vision.get_model,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
486,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_75,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
487,mxnet.gluon.model_zoo.vision.resnet50_v2,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
488,mxnet.gluon.model_zoo.vision.vgg11_bn,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
489,mxnet.gluon.model_zoo.vision.vgg13,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
490,mxnet.gluon.model_zoo.vision.vgg19,pretrained,Whether to load the pretrained weights for model.,Whether to load the pretrained weights for model,bool,,,,0,,
491,mxnet.ndarray.mp_lamb_update_phase2,r1,r1,r1,,,,,,,
492,mxnet.ndarray.op.mp_lamb_update_phase2,r2,r2,r2,,,,,,,
493,mxnet.image.CreateAugmenter,rand_mirror,Whether to apply horizontal flip to image with probability 0.5,Whether to apply horizontal flip to image with probability CONSTANT_NUM,bool,,,,0,,
494,mxnet.image.CreateDetAugmenter,rand_pad,"[0, 1], probability to apply random padding",BSTR probability to apply random padding,numeric,,,,0,"[0,1]",
495,mxnet.io.ImageDetRecordIter,random_illumination_prob,Augmentation Param: Probability to apply random illumination.,Augmentation Param Probability to apply random illumination,numeric,,,,,"[0,1]",
496,mxnet.contrib.ndarray.MultiBoxPrior,ratios,List of aspect ratios of generated MultiBoxPriores.,D_STRUCTURE of aspect ratios of generated MultiBoxPriores,,,D_STRUCTURE,,,,
497,mxnet.ndarray.op.repeat,repeats,The number of repetitions for each element.,The number of repetitions for each element,int,,,,0,"[0,inf)",
498,mxnet.ndarray.ftml_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,,
499,mxnet.ndarray.multi_lars,rescale_grad,Gradient rescaling factor,Gradient rescaling factor,,,,,,,
500,mxnet.ndarray.op.rmsprop_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,,
501,mxnet.ndarray.op.signsgd_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,,
502,mxnet.ndarray.signsgd_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,,
503,mxnet.ndarray.sparse.adam_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,,
504,mxnet.io.ImageDetRecordIter,resize_mode,"Augmentation Param: How image data fit in data_shape. force: force reshape to data_shape regardless of aspect ratio; shrink: ensure each side fit in data_shape, preserve aspect ratio; fit: fit image to data_shape, preserve ratio, will upscale if applicable.",Augmentation Param How image data fit in PARAM,,,,,,,
505,mxnet.io.ImageDetRecordIter,resize_mode,"Augmentation Param: How image data fit in data_shape. force: force reshape to data_shape regardless of aspect ratio; shrink: ensure each side fit in data_shape, preserve aspect ratio; fit: fit image to data_shape, preserve ratio, will upscale if applicable.",force force reshape to PARAM regardless of aspect ratio shrink ensure each side fit in PARAM preserve aspect ratio fit fit image to PARAM preserve ratio will upscale if applicable,,,,,,,
506,mxnet.ndarray.broadcast_logical_or,rhs,Second input to the function,Second input to the function,,,,,,,
507,mxnet.ndarray.broadcast_sub,rhs,Second input to the function,Second input to the function,,,,,,,
508,mxnet.ndarray.elemwise_add,rhs,second input,second input,,,,,,,
509,mxnet.ndarray.equal,rhs,"Second array to be compared. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",If PARAM shape rhs shape they must be broadcastable to a common shape,,,,,,,
510,mxnet.ndarray.equal,rhs,"Second array to be compared. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",Second D_STRUCTURE to be compared,,,D_STRUCTURE,,,,
511,mxnet.ndarray.minimum,rhs,"Second array to be compared. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",If PARAM shape rhs shape they must be broadcastable to a common shape,,,,,,,
512,mxnet.ndarray.minimum,rhs,"Second array to be compared. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",Second D_STRUCTURE to be compared,,,D_STRUCTURE,,,,
513,mxnet.ndarray.op.broadcast_equal,rhs,Second input to the function,Second input to the function,,,,,,,
514,mxnet.ndarray.op.elemwise_mul,rhs,second input,second input,,,,,,,
515,mxnet.ndarray.sparse.elemwise_sub,rhs,second input,second input,,,,,,,
516,mxnet.ndarray.sparse.subtract,rhs,"Second array to be subtracted. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.__spec__",If PARAM shape rhs shape they must be broadcastable to a common shape spec,,,,,,,
517,mxnet.ndarray.sparse.subtract,rhs,"Second array to be subtracted. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.__spec__",Second D_STRUCTURE to be subtracted,,,D_STRUCTURE,,,,
518,mxnet.image.copyMakeBorder,right,Right margin.,right margin,,,,,,,
519,mxnet.ndarray.linalg_trsm,rightside,Multiply triangular matrix from the right to non-triangular one.,Multiply triangular matrix from the right to non triangular one,,,,,,,
520,mxnet.ndarray.op.linalg_trmm,rightside,Multiply triangular matrix from the right to non-triangular one.,Multiply triangular matrix from the right to non triangular one,,,,,,,
521,mxnet.ndarray.op.linalg_trsm,rightside,Multiply triangular matrix from the right to non-triangular one.,Multiply triangular matrix from the right to non triangular one,,,,,,,
522,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",batch_index indicates the index of corresponding image in the input PARAM,int,,,,0,,
523,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",Bounding box coordinates a CONSTANT_NUM D D_STRUCTURE of BSTR,,,D_STRUCTURE,BSTR,CONSTANT_NUM,,
524,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",BSTR are top left and down right corners of designated region of interest,,,,,,,
525,mxnet.ndarray.ROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]], where (x1, y1) and (x2, y2) are top left and bottom right corners of designated region of interest. batch_index indicates the index of corresponding image in the input array",batch_index indicates the index of corresponding image in the input D_STRUCTURE,int,,,,0,,
526,mxnet.ndarray.ROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]], where (x1, y1) and (x2, y2) are top left and bottom right corners of designated region of interest. batch_index indicates the index of corresponding image in the input array",Bounding box coordinates a CONSTANT_NUM D D_STRUCTURE of BSTR where BSTR are top left and bottom right corners of designated region of interest,,,D_STRUCTURE,BSTR,CONSTANT_NUM,,
527,mxnet.gluon.model_zoo.vision.inception_v3,root,Location for keeping the model parameters.,Location for keeping the model parameters,,,,,,,
528,mxnet.gluon.model_zoo.vision.resnet152_v2,root,Location for keeping the model parameters.,Location for keeping the model parameters,,,,,,,
529,mxnet.contrib.ndarray.MultiProposal,rpn_pre_nms_top_n,Number of top scoring boxes to keep before applying NMS to RPN proposals,Number of top scoring boxes to keep before applying NMS to RPN proposals,int,,,,0,"[0,inf)",
530,mxnet.recordio.unpack,s,String buffer from `MXRecordIO.read`.,D_TYPE buffer from MXRecordIO read,D_TYPE,,,,,,
531,mxnet.ndarray.op.random_pdf_uniform,sample,Samples from the distributions.,Samples from the distributions,,,,,,,
532,mxnet.ndarray.random_pdf_dirichlet,sample,Samples from the distributions.,Samples from the distributions,,,,,,,
533,mxnet.ndarray.random_pdf_exponential,sample,Samples from the distributions.,Samples from the distributions,,,,,,,
534,mxnet.contrib.ndarray.ROIAlign,sample_ratio,"Optional sampling ratio of ROI align, using adaptive size by default.",Optional sampling ratio of ROI align using adaptive size by default,numeric,,,,0,,
535,mxnet.ndarray.contrib.ROIAlign,sample_ratio,"Optional sampling ratio of ROI align, using adaptive size by default.",Optional sampling ratio of ROI align using adaptive size by default,numeric,,,,0,,
536,mxnet.ndarray.UpSampling,sample_type,upsampling method,upsampling method,,,,,,,
537,mxnet.io.ImageRecordIter,saturation,"Add a random value in `[-saturation, saturation]` to the saturation of image.",Add a random value in BSTR to the saturation of image,,,,,,,
538,mxnet.contrib.ndarray.backward_gradientmultiplier,scalar,scalar input,scalar input,,,,,0,,
539,mxnet.contrib.ndarray.gradientmultiplier,scalar,lambda multiplier,lambda multiplier,,,,,,,
540,mxnet.gluon.nn.BatchNorm,scale,"If True, multiply by gamma. If False, gamma is not used. When the next layer is linear (also e.g. nn.relu), this can be disabled since the scaling will be done by the next layer.",If CONSTANT_BOOL gamma is not used,bool,,,,0,,
541,mxnet.gluon.nn.BatchNorm,scale,"If True, multiply by gamma. If False, gamma is not used. When the next layer is linear (also e.g. nn.relu), this can be disabled since the scaling will be done by the next layer.",If CONSTANT_BOOL multiply by gamma,bool,,,,0,,
542,mxnet.gluon.nn.BatchNorm,scale,"If True, multiply by gamma. If False, gamma is not used. When the next layer is linear (also e.g. nn.relu), this can be disabled since the scaling will be done by the next layer.",nn relu this can be disabled since the scaling will be done by the next layer,,,,,,,
543,mxnet.gluon.nn.BatchNorm,scale,"If True, multiply by gamma. If False, gamma is not used. When the next layer is linear (also e.g. nn.relu), this can be disabled since the scaling will be done by the next layer.",When the next layer is linear also e g,,,,,,,
544,mxnet.io.ImageDetRecordIter,scale,Augmentation Param: Scale in color space.,Augmentation Param scale in color space,,,,,,,
545,mxnet.ndarray.op.random_normal,scale,Standard deviation of the distribution.,Standard deviation of the distribution,numeric,,,,,,
546,mxnet.ndarray.random.randn,scale,Standard deviation (spread or width) of the distribution.,Standard deviation BSTR of the distribution,numeric,,,,,,
547,mxnet.contrib.ndarray.BilinearResize2D,scale_width,"sampling scale of the width (optional, used in modes ""scale"" and ""odd_scale"")",sampling scale of the PARAM optional used in modes QSTR,,,,,,,
548,mxnet.io.ImageRecordIter,seed_aug,Random seed for augmentations.,Random PARAM for augmentations,,,,,,,
549,mxnet.gluon.utils.download,sha1_hash,Expected sha1 hash in hexadecimal digits. Will ignore existing file when hash is specified but doesn't match.,Expected sha1 hash in hexadecimal digits,,,,,,,
550,mxnet.gluon.utils.download,sha1_hash,Expected sha1 hash in hexadecimal digits. Will ignore existing file when hash is specified but doesn't match.,Will ignore existing file when hash is specified but doesn t match,,,,,,,
551,mxnet.ndarray.op.random_uniform,shape,Shape of the output.,shape of the output,int,,,,1,"[0,inf)",
552,mxnet.ndarray.op.reshape,shape,The target shape,The target shape,int,,,,1,"[0,inf)",
553,mxnet.ndarray.op.sample_exponential,shape,Shape to be sampled from each random distribution.,shape to be sampled from each random distribution,int,,,,1,"[0,inf)",
554,mxnet.ndarray.op.sample_gamma,shape,Shape to be sampled from each random distribution.,shape to be sampled from each random distribution,int,,,,1,"[0,inf)",
555,mxnet.ndarray.random.gamma,shape,"The number of samples to draw. If shape is, e.g., (m, n) and alpha and beta are scalars, output shape will be (m, n). If alpha and beta are NDArrays with shape, e.g., (x, y), then output will have shape (x, y, m, n), where m*n samples are drawn for each [alpha, beta) pair.",If PARAM and PARAM are NDArrays with shape e g BSTR where m n samples are drawn for each BSTR pair,,,,,,,
556,mxnet.ndarray.random.gamma,shape,"The number of samples to draw. If shape is, e.g., (m, n) and alpha and beta are scalars, output shape will be (m, n). If alpha and beta are NDArrays with shape, e.g., (x, y), then output will have shape (x, y, m, n), where m*n samples are drawn for each [alpha, beta) pair.",If shape is e g BSTR,,,,BSTR,,,
557,mxnet.ndarray.random.gamma,shape,"The number of samples to draw. If shape is, e.g., (m, n) and alpha and beta are scalars, output shape will be (m, n). If alpha and beta are NDArrays with shape, e.g., (x, y), then output will have shape (x, y, m, n), where m*n samples are drawn for each [alpha, beta) pair.",The number of samples to draw,int,,,,0,"[0,inf)",
558,mxnet.ndarray.sample_uniform,shape,Shape to be sampled from each random distribution.,shape to be sampled from each random distribution,int,,,,1,"[0,inf)",
559,mxnet.util.set_np,shape,"A boolean value indicating whether the NumPy-shape semantics should be turned on or off. When this flag is set to True, zero-size and zero-dim shapes are all valid shapes in shape inference process, instead of treated as unknown shapes in legacy mode.",A D_TYPE value indicating whether the NumPy shape semantics should be turned on or off,D_TYPE,,,,0,,
560,mxnet.util.set_np,shape,"A boolean value indicating whether the NumPy-shape semantics should be turned on or off. When this flag is set to True, zero-size and zero-dim shapes are all valid shapes in shape inference process, instead of treated as unknown shapes in legacy mode.",When this flag is set to CONSTANT_BOOL zero size and zero dim shapes are all valid shapes in shape inference process instead of treated as unknown shapes in legacy mode,bool,,,,0,,
561,mxnet.ndarray.op.LeakyReLU,slope,Init slope for the activation. (For leaky and elu only),BSTR,,,,,,,
562,mxnet.ndarray.op.LeakyReLU,slope,Init slope for the activation. (For leaky and elu only),Init slope for the activation,,,,,,,
563,mxnet.profiler.dumps,sort_by,"can take 'total', 'avg', 'min', 'max', or 'count' by which stat to sort the entries in each category defaults to 'total'",can take QSTR by which stat to sort the entries in each category defaults to QSTR,,,,,,,QSTR
564,mxnet.ndarray.ROIPooling,spatial_scale,Ratio of input feature map height (or w) to raw image height (or w). Equals the reciprocal of total stride in convolutional layers,Equals the reciprocal of total stride in convolutional layers,,,,,,,
565,mxnet.ndarray.ROIPooling,spatial_scale,Ratio of input feature map height (or w) to raw image height (or w). Equals the reciprocal of total stride in convolutional layers,Ratio of input feature map height BSTR,numeric,,,,,,
566,mxnet.ndarray.op.split,squeeze_axis,"If true, Removes the axis with length 1 from the shapes of the output arrays. Note that setting squeeze_axis to `true` removes axis with length 1 only along the axis which it is split. Also squeeze_axis can be set to `true` only if `input.shape[axis] == num_outputs`.",Also squeeze_axis can be set to CONSTANT_BOOL only if input shape BSTR PARAM,bool,,,,0,,
567,mxnet.ndarray.op.split,squeeze_axis,"If true, Removes the axis with length 1 from the shapes of the output arrays. Note that setting squeeze_axis to `true` removes axis with length 1 only along the axis which it is split. Also squeeze_axis can be set to `true` only if `input.shape[axis] == num_outputs`.",If CONSTANT_BOOL Removes the PARAM with length CONSTANT_NUM from the shapes of the output D_STRUCTURE,bool,,,,0,,
568,mxnet.ndarray.op.split,squeeze_axis,"If true, Removes the axis with length 1 from the shapes of the output arrays. Note that setting squeeze_axis to `true` removes axis with length 1 only along the axis which it is split. Also squeeze_axis can be set to `true` only if `input.shape[axis] == num_outputs`.",Note that setting squeeze_axis to CONSTANT_BOOL removes PARAM with length CONSTANT_NUM only along the PARAM which it is split,,,,,,,
569,mxnet.ndarray.arange,start,Start of interval. The default start value is 0.,The default start value is CONSTANT_NUM,,,,,,,
570,mxnet.ndarray.arange,start,Start of interval. The default start value is 0.,start of interval,,,,,,,
571,mxnet.contrib.ndarray.hawkesll,state,"Shape (N, K) the Hawkes state for each process",Shape BSTR the Hawkes state for each process,,,,BSTR,,,
572,mxnet.ndarray.RNN,state_outputs,Whether to have the states as symbol outputs.,Whether to have the states as symbol outputs,bool,,,,0,,
573,mxnet.ndarray.contrib.box_decode,std2,value to be divided from the 3rd encoded values,value to be divided from the 3rd encoded values,numeric,,,,,,
574,mxnet.ndarray.contrib.arange_like,step,Spacing between values.,Spacing between values,,,,,,,
575,mxnet.gluon.nn.Conv3DTranspose,strides,Specify the strides of the convolution.,Specify the strides of the convolution,int,,,,1,,
576,mxnet.ndarray.zeros,stype,"The storage type of the empty array, such as 'row_sparse', 'csr', etc.",The storage type of the empty D_STRUCTURE such as QSTR etc,,,,,,,QSTR
577,mxnet.test_utils.verify_generator,success_rate,The desired success rate,The desired success rate,numeric,,,,0,,
578,mxnet.test_utils.check_symbolic_forward,sym,output symbol,output symbol,,,,,,,
579,mxnet.ndarray.op.Deconvolution,target_shape,"Shape of the output tensor: (w,), (h, w) or (d, h, w).",Shape of the output D_STRUCTURE BSTR,int,,,,1,"[0,inf)",
580,mxnet.ndarray.contrib.MultiProposal,threshold,"NMS value, below which to suppress.",NMS value below which to suppress,,,,,,,
581,mxnet.contrib.ndarray.box_nms,topk,"Apply nms to topk boxes with descending scores, -1 to no restriction.",Apply nms to topk boxes with descending scores CONSTANT_NUM to no restriction,,,,,,,
582,mxnet.ndarray.contrib.bipartite_matching,topk,"Limit the number of matches to topk, set -1 for no limit",Limit the number of matches to topk set CONSTANT_NUM for no limit,,,,,,,
583,mxnet.ndarray.op.linalg_trmm,transpose,Use transposed of the triangular matrix,Use transposed of the triangular matrix,,,,,,,
584,mxnet.ndarray.linalg_gemm,transpose_a,Multiply with transposed of first input (A).,Multiply with transposed of first input BSTR,,,,,,,
585,mxnet.ndarray.op.linalg_gemm,transpose_a,Multiply with transposed of first input (A).,Multiply with transposed of first input BSTR,,,,,,,
586,mxnet.gluon.nn.Conv2DTranspose,use_bias,Whether the layer uses a bias vector.,Whether the layer uses a bias vector,bool,,,,0,,
587,mxnet.contrib.ndarray.quantized_batch_norm,use_global_stats,Whether use global moving statistics instead of local batch-norm. This will force change batch-norm into a scale shift operator.,This will force change batch norm into a scale shift operator,,,,,,,
588,mxnet.contrib.ndarray.quantized_batch_norm,use_global_stats,Whether use global moving statistics instead of local batch-norm. This will force change batch-norm into a scale shift operator.,Whether use global moving statistics instead of local batch norm,bool,,,,0,,
589,mxnet.contrib.ndarray.SyncBatchNorm,use_global_stats,Whether use global moving statistics instead of local batch-norm. This will force change batch-norm into a scale shift operator.,This will force change batch norm into a scale shift operator,,,,,,,
590,mxnet.contrib.ndarray.SyncBatchNorm,use_global_stats,Whether use global moving statistics instead of local batch-norm. This will force change batch-norm into a scale shift operator.,Whether use global moving statistics instead of local batch norm,bool,,,,0,,
591,mxnet.ndarray.BatchNorm,use_global_stats,Whether use global moving statistics instead of local batch-norm. This will force change batch-norm into a scale shift operator.,This will force change batch norm into a scale shift operator,,,,,,,
592,mxnet.ndarray.BatchNorm,use_global_stats,Whether use global moving statistics instead of local batch-norm. This will force change batch-norm into a scale shift operator.,Whether use global moving statistics instead of local batch norm,bool,,,,0,,
593,mxnet.ndarray.op.softmin,use_length,Whether to use the length input as a mask over the data input.,Whether to use the length input as a mask over the PARAM input,bool,,,,0,,
594,mxnet.ndarray.op.SequenceMask,use_sequence_length,"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence",If set to CONSTANT_BOOL this layer takes in an extra input parameter PARAM to specify variable length D_STRUCTURE,bool,,,,0,,
595,mxnet.ndarray.full,val,Fill value.,Fill value,,,,,,,
596,mxnet.contrib.ndarray.hawkesll,valid_length,The number of valid points in the process,The number of valid points in the process,int,,,,0,"[0,inf)",
597,mxnet.ndarray.op.SequenceMask,value,The value to be used as a mask.,The value to be used as a mask,,,,,,,
598,mxnet.io.ImageRecordIter,verbose,If or not output verbose information.,If or not output verbose information,,,,,,,
599,mxnet.ndarray.mp_nag_mom_update,wd,Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.,PARAM decay augments the objective function with a regularization term that penalizes large weights,,,,,,,
600,mxnet.ndarray.mp_nag_mom_update,wd,Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.,The penalty scales with the square of the magnitude of each PARAM,,,,,,,
